shark_id,latitude,longitude,datetime,behavior,predicted_state,state_probability_0,state_probability_1,state_uncertainty,speed_km_day,step_length,chlor_a,carbon_phyto,poc,sst,water_depth,eddy_speed,is_foraging,is_migrating,confidence,high_confidence,speed_category
19,-34.78724,20.06839,2025-08-09,Migrating,1,0.002458265356890729,0.9975417346431095,0.002,255.28,1786.946,0.3897,36.65,111.34,10.0,-763.8992548474241,0.8199,0,1,0.998,1,High
19,-34.82682,19.71938,2025-08-07,Migrating,1,0.001976083563086336,0.9980239164369138,0.002,0.0,32.167,0.2198,36.68,79.55,10.0,-587.6894222221031,0.8532,0,1,0.998,1,
19,-25.0515,34.145,2025-08-03,Foraging,0,1.0,0.0,0.0,0.0,1761.158,0.2453,37.52,92.87,16.03,-1602.053453560291,0.8982,1,0,1.0,1,
19,-34.82977,19.70538,2025-08-03,Migrating,1,0.0010753797723362189,0.9989246202276643,0.001,0.0,1762.4,0.2939,45.97,116.75,10.0,-124.54406439268928,0.9214,0,1,0.999,1,
19,-24.07685,36.47954,2025-08-02,Foraging,0,1.0,0.0,0.0,0.0,2011.882,0.2151,42.93,93.45,14.75,-2110.854719308048,1.064,1,0,1.0,1,
19,-34.76384,19.24948,2025-08-04,Migrating,1,0.0007190339914260231,0.9992809660085737,0.001,1021.79,2043.572,0.396,34.54,84.88,10.0,-110.65484769270034,0.7469,0,1,0.999,1,Very_High
19,-41.491,26.31795,2025-08-10,Migrating,1,0.002616557190953394,0.9973834428090462,0.003,161.62,969.731,0.3469,34.25,84.46,10.0,-922.9934235464426,0.7758,0,1,0.997,1,High
19,-34.95539,19.73493,2025-08-10,Migrating,1,0.0012363089661033165,0.9987636910338963,0.001,0.0,926.101,0.3446,42.59,100.92,10.0,-452.12209387098767,0.7707,0,1,0.999,1,
19,-34.86778,20.09269,2025-08-08,Migrating,1,0.0034761193909479834,0.9965238806090514,0.003,0.0,34.045,0.3382,31.02,92.33,10.0,-958.1654782222232,0.7165,0,1,0.997,1,
19,-25.395767,33.194905,2025-08-04,Foraging,0,0.9999999999993321,6.678628311898602e-13,0.0,0.0,1639.501,0.3896,46.49,112.78,10.88,-1767.0673340842511,0.7233,1,0,1.0,1,
19,-39.44747,27.02189,2025-08-10,Migrating,1,0.004111064115386114,0.9958889358846139,0.004,277.55,1665.303,0.1086,40.68,85.28,10.0,-1172.1976200849165,0.7414,0,1,0.996,1,High
19,-34.80176,19.71737,2025-08-06,Migrating,1,0.004598754839072949,0.9954012451609271,0.005,0.0,827.9,0.4427,47.85,96.22,10.0,-1048.652457233218,0.8989,0,1,0.995,1,
19,-34.71679,20.14584,2025-08-03,Migrating,1,0.001120856725822438,0.9988791432741768,0.001,0.0,40.266,0.5182,37.15,97.29,10.0,-10.0,0.8632,0,1,0.999,1,
19,-37.60347,16.79592,2025-08-03,Migrating,1,0.0007841053108127731,0.999215894689188,0.001,0.0,439.792,0.2392,45.75,95.39,10.0,-10.0,0.6792,0,1,0.999,1,
19,-38.11798,17.0364,2025-08-09,Migrating,1,0.0013887143660097374,0.9986112856339904,0.001,10.16,60.982,0.2919,35.98,104.01,10.0,-446.9448303040549,0.6967,0,1,0.999,1,Low
19,-29.19787,32.08369,2025-08-02,Migrating,1,0.008311260080539935,0.9916887399194605,0.008,0.0,1706.111,0.1845,47.81,94.31,10.0,-1438.7822795612371,0.7629,0,1,0.992,1,
19,-34.81174,19.69125,2025-08-08,Migrating,1,0.0013571643830279003,0.9986428356169721,0.001,220.56,1323.349,0.4105,39.27,94.88,10.0,-448.0772254284724,0.8884,0,1,0.999,1,High
19,-35.25285,20.25738,2025-08-03,Migrating,1,0.0015700765603623929,0.9984299234396377,0.002,0.0,71.153,0.2168,51.38,103.88,10.0,-484.8321776062167,0.7629,0,1,0.998,1,
19,-34.83643,19.80193,2025-08-06,Migrating,1,0.0027520747199728606,0.9972479252800273,0.003,20.72,62.154,0.2309,36.48,113.65,10.0,-752.6390206967989,0.8543,0,1,0.997,1,Low
19,-34.747,20.179,2025-08-07,Migrating,1,0.0019691917166385856,0.9980308082833612,0.002,35.84,35.84,0.386,37.29,117.68,10.0,-343.2581322022238,0.9465,0,1,0.998,1,Low
19,-29.09258,31.90879,2025-08-09,Foraging,0,1.0,1.923543061537673e-90,0.0,635.92,1271.836,0.3465,36.85,106.34,12.25,-2242.0360018935808,0.9197,1,0,1.0,1,Very_High
19,-29.09721,31.87961,2025-08-07,Migrating,1,0.005831857416276449,0.9941681425837237,0.006,0.0,2.882,0.1506,38.02,101.91,10.0,-1131.3026021195058,0.904,0,1,0.994,1,
19,-29.3638,31.78963,2025-08-07,Migrating,1,0.03228661464343567,0.9677133853565645,0.032,0.0,30.903,0.372,40.34,98.99,10.0,-1803.984130702197,0.8003,0,1,0.968,1,
19,-36.67154,16.49073,2025-08-10,Migrating,1,0.004488567613399773,0.9955114323866,0.004,546.21,1638.633,0.2681,36.79,96.08,10.0,-1085.6134499185418,0.8344,0,1,0.996,1,Very_High
19,-34.80551,19.6671,2025-08-05,Migrating,1,0.001019714979200626,0.9989802850207997,0.001,0.0,353.86,0.3641,43.47,87.0,10.0,-10.0,0.8477,0,1,0.999,1,
19,-34.69337,19.2055,2025-08-10,Migrating,1,0.0010997479340184254,0.9989002520659815,0.001,8.8,43.978,0.2769,38.71,108.07,10.0,-308.3295483782606,0.6816,0,1,0.999,1,Low
19,-25.14032,34.98203,2025-08-03,Foraging,0,1.0,5.48919257988492e-85,0.0,0.0,1850.941,0.3782,42.62,83.85,12.18,-2329.67624266472,0.9013,1,0,1.0,1,
19,-36.54152,17.17852,2025-08-05,Migrating,1,0.005114098066057629,0.9948859019339424,0.005,1057.16,2114.313,0.2979,40.49,110.37,10.0,-1114.0422190760069,0.8133,0,1,0.995,1,Very_High
19,-23.96357,36.67507,2025-08-05,Foraging,0,1.0,4.028106282794089e-294,0.0,0.0,2329.329,0.2154,29.92,98.47,14.05,-2195.688951995694,0.7968,1,0,1.0,1,
19,-29.08221,32.0032,2025-08-02,Foraging,0,0.9999999999617852,3.8214550050759795e-11,0.0,0.0,734.662,0.2991,36.72,97.57,10.81,-1909.5291596347436,0.9399,1,0,1.0,1,
19,-29.36687,31.78393,2025-08-02,Migrating,1,0.019348219114255504,0.9806517808857446,0.019,0.0,38.14,0.397,43.74,91.46,10.07,-1533.6201250207,0.886,0,1,0.981,1,
19,-34.80833,19.8553,2025-08-03,Migrating,1,0.0041574759512595675,0.9958425240487402,0.004,1275.0,1274.996,0.3808,41.81,105.45,10.0,-1014.0591957472088,0.864,0,1,0.996,1,Very_High
19,-33.51935,27.14873,2025-08-04,Migrating,1,0.0052326962045595215,0.9947673037954408,0.005,686.01,686.007,0.3747,34.06,108.06,10.0,-1114.773527296017,0.9039,0,1,0.995,1,Very_High
19,-25.12578,35.38255,2025-08-08,Foraging,0,1.0,2.5741100664475557e-17,0.0,306.78,1227.117,0.2232,47.81,111.81,11.01,-1765.004063937987,0.8574,1,0,1.0,1,Very_High
19,-33.65221,16.43991,2025-08-02,Migrating,1,0.000685710861413982,0.9993142891385859,0.001,0.0,2060.934,0.1909,41.05,97.42,10.0,-10.0,0.7244,0,1,0.999,1,
19,-34.90929,19.57256,2025-08-10,Migrating,1,0.0011362029822903222,0.9988637970177094,0.001,39.99,319.949,0.2669,39.61,98.46,10.0,-24.337589746857788,0.9636,0,1,0.999,1,Low
19,-34.80248,19.66805,2025-08-07,Migrating,1,0.003224062488372676,0.9967759375116264,0.003,0.0,14.73,0.3681,31.49,107.8,10.0,-938.061842690178,0.6943,0,1,0.997,1,
19,-34.87094,20.03681,2025-08-07,Migrating,1,0.0008802471095545055,0.999119752890445,0.001,0.0,34.506,0.1452,41.63,102.1,10.0,-10.0,0.6967,0,1,0.999,1,
19,-28.86336,32.08357,2025-08-10,Migrating,1,0.03826278310641113,0.9617372168935892,0.038,439.26,1317.786,0.3476,43.24,88.87,10.0,-1917.1717026078893,0.8391,0,1,0.962,1,Very_High
19,-34.12537,25.8805,2025-08-02,Migrating,1,0.0030142415525907943,0.996985758447409,0.003,0.0,829.25,0.2535,35.58,101.93,10.0,-927.2195693579336,0.7333,0,1,0.997,1,
19,-29.04274,31.89242,2025-08-04,Foraging,0,1.0,2.31715204099339e-16,0.0,400.99,801.98,0.3764,49.79,96.58,10.96,-2288.494940882183,0.9181,1,0,1.0,1,Very_High
19,-25.56441,33.13053,2025-08-10,Foraging,0,1.0,1.4728201185135781e-208,0.0,67.61,405.648,0.2889,51.28,105.06,13.41,-2250.3749145064044,0.9214,1,0,1.0,1,Medium
19,-23.14143,37.51623,2025-08-02,Foraging,0,1.0,0.0,0.0,0.0,519.525,0.2233,33.12,89.19,15.1,-1390.179229444564,0.8177,1,0,1.0,1,
